Row.names,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000189223,1330.4444167709985,-8.711952055976342,0.33629492038042713,-25.905690297436294,5.745749132865914e-148,1.5170501435505872e-143
ENSG00000224114,268.3671144873413,6.010894035588028,0.3080936685861043,19.50995638168441,9.035917744093512e-85,1.192876680986505e-80
ENSG00000127399,200.22698541695996,-6.655123363630135,0.4019817184247517,-16.555786142985824,1.45429401163748e-61,1.279924159642146e-57
ENSG00000114374,1535.614196448459,13.341311303137465,0.8537327367044332,15.627034936761829,4.7646403006683764e-55,3.1450199464636783e-51
ENSG00000230202,292.8282825435363,-2.7482942705693754,0.18251085786202256,-15.05825079539692,3.0474381494687134e-51,1.6092301892084488e-47
ENSG00000067048,1514.0537857271634,14.042410289151109,1.0852218429245493,12.93966794043549,2.687887415515581e-38,1.1828048571976314e-34
ENSG00000135525,768.4685331869531,-2.30551582919235,0.17971166619578471,-12.828971418475604,1.1285243745990045e-37,4.256632723219645e-34
ENSG00000012817,738.8073565536671,13.00708807106927,1.0739207157201043,12.111776857146785,9.149047771343388e-34,3.0195288538347433e-30
ENSG00000223482,350.4316486074934,2.7624243581140067,0.2315328510481565,11.931025535289807,8.156243366755687e-33,2.3927699290272265e-29
ENSG00000165246,385.5954242702712,11.708031469263624,0.9850565471986075,11.885644029837657,1.405475556976129e-32,3.710877113084074e-29
ENSG00000099715,282.03624586062307,6.729524285541248,0.5674064656116236,11.860147343029134,1.9063935306368585e-32,4.5758643990368165e-29
ENSG00000183878,263.0845670037759,11.155697378903191,0.9431540407398327,11.828075687564668,2.794753853280681e-32,6.149157165680819e-29
ENSG00000291033,618.5103874692833,12.750708267535533,1.0850362592671745,11.75141213819644,6.944846465183467e-32,1.4104983170787622e-28
ENSG00000215030,791.7625407433823,-3.948962171260875,0.3441863004823477,-11.4733275720932,1.7961691642239066e-30,3.387446745928843e-27
ENSG00000261186,30.40113763347518,2.822891907308926,0.25423731759097606,11.103373549002242,1.2079650231302831e-28,2.1262600337139244e-25
ENSG00000185304,33.24911084954191,5.706689058293986,0.5262999240217349,10.843036067127219,2.152082062177103e-27,3.342436628686003e-24
ENSG00000286058,295.9772997137742,-5.721650661800179,0.5274969695569851,-10.846793426330903,2.065447122698535e-27,3.342436628686003e-24
ENSG00000228696,114.73472586802328,-3.0841178330690666,0.28591081846819133,-10.786992425094912,3.965553935570727e-27,5.816806697826327e-24
ENSG00000099725,420.5272654943527,12.193987651175648,1.1387433093380637,10.708284783041977,9.307015679664958e-27,1.293332289422073e-23
ENSG00000129824,497.8833323381459,12.798697679375845,1.2155399670715292,10.529228183430599,6.335177620735873e-26,8.363384736014463e-23
ENSG00000127903,57.52590222117115,-2.125601780225463,0.20424354068915093,-10.407192183671203,2.2990258343901093e-25,2.8905323383524785e-22
ENSG00000067646,137.9264912728405,10.223419642453539,0.9974724113024542,10.249325722306706,1.1917195411749544e-24,1.4302259566201056e-21
ENSG00000188707,131.61945287536554,-8.062971875747568,0.7905072189412224,-10.199744774686344,1.9879421379036836e-24,2.2820711420465634e-21
ENSG00000180574,68.16616613353497,-3.842519288365528,0.378108343283384,-10.162482147307825,2.915576538692543e-24,3.2074986396291337e-21
ENSG00000226864,60.845691027207785,-4.933351380505169,0.48797908694537206,-10.109759849313878,5.000670295323726e-24,5.281307912297293e-21
ENSG00000213025,46.30604470345234,-4.3442066971197875,0.4343817202820565,-10.00089666365097,1.5102333533925423e-23,1.5336419703701267e-20
ENSG00000197582,80.43522338117512,-4.6718082006767006,0.4715806050933661,-9.906701315147918,3.892871334337678e-23,3.6708386371613466e-20
ENSG00000235272,49.74385795787792,-3.6818786177508223,0.3715499794919034,-9.909511024023772,3.784940058462812e-23,3.6708386371613466e-20
ENSG00000290535,81.39659131698384,-3.137448149542913,0.32236283150195044,-9.732660973738625,2.1879318541365246e-22,1.9919987843022985e-19
ENSG00000198692,250.14675020267876,11.806007289941164,1.2187083064701527,9.68731174413334,3.4139614260308923e-22,3.0046274510497883e-19
ENSG00000102054,6729.204983180778,-1.6203309126897802,0.16779975444900044,-9.656336613902788,4.620934144986321e-22,3.9356943300023818e-19
ENSG00000060138,2947.9998901288127,-1.9466274123641014,0.2029752290430519,-9.590467869117237,8.768647340248042e-22,7.234956116392782e-19
ENSG00000125618,70.37118414945462,-4.176455220415279,0.4370079538678466,-9.55693182115001,1.2129942470794544e-21,9.705056698678434e-19
ENSG00000267470,161.95151700415562,2.334718740925731,0.24920900924709147,9.368516603710946,7.355904028143526e-21,5.5490838301449575e-18
ENSG00000213058,36.29285802877102,7.9288738911110475,0.8462391197753795,9.3695430828294,7.284719611807005e-21,5.5490838301449575e-18
ENSG00000188825,99.83730678179771,-2.5390216547619646,0.2724657436717701,-9.318682123286054,1.1779426700401686e-20,8.639227865852936e-18
ENSG00000117394,5717.803489791539,-2.0963987970157834,0.22720050810777007,-9.227086745868455,2.780923796042176e-20,1.9844521888351774e-17
ENSG00000289810,48.52367322909907,-5.609275300997344,0.6089401701804951,-9.211537644715913,3.2148613668529943e-20,2.2337364386584105e-17
ENSG00000273748,43.336060799819386,-5.1260979825983926,0.5584060979796155,-9.1798746488358,4.315935400380111e-20,2.9218882660573353e-17
ENSG00000234665,73.88068109488994,3.6100101412237495,0.39351195750717677,9.173825781794473,4.565225784584454e-20,3.0133914097595836e-17
ENSG00000290591,175.01414775883308,-5.874955258704419,0.6406797113696782,-9.169878731050552,4.7355146512295743e-20,3.049555935034499e-17
ENSG00000115380,1261.2917648348057,-2.6129976603844107,0.2859182498279605,-9.13896773625564,6.305127577534232e-20,3.891957321205786e-17
ENSG00000236782,570.6691022612572,-3.886081249439651,0.4252475574794961,-9.138397578278916,6.338452630831678e-20,3.891957321205786e-17
ENSG00000256073,28.752561214629363,-4.019407678635894,0.44154177861354627,-9.103119734800519,8.777357454214216e-20,5.26701292871859e-17
ENSG00000152128,413.25744638425056,1.9271707268160299,0.21644923757734802,8.903569023325186,5.407911879540287e-19,3.173002163455604e-16
ENSG00000138111,191.049566480473,1.439247694357379,0.16250259904064807,8.856767232365119,8.23682780778701e-19,4.727760100195662e-16
ENSG00000196604,102.48701465987152,-7.104152819944471,0.8107545339191263,-8.762396659817037,1.911423133480382e-18,1.0737724466655858e-15
ENSG00000198205,85.64202907266187,-7.417518473878255,0.8491750125329318,-8.734970252778837,2.4372026051421397e-18,1.3406137579909983e-15
ENSG00000102225,6023.233294048812,-0.8390865530412248,0.09680998989717764,-8.667355031566709,4.422742168837706e-18,2.3831359486494278e-15
